asin	val	productGroup	brand
B004LU1CA2	35.62	Speakers	Satechi
B004M8STFY	62.4	Speakers	Philips
B004MIQ9W4	77.38	Speakers	Jensen
B004N017G4	237.99	Speakers	Klipsch
B004N354N8	30.25	Speakers	Wonpro
B004N80E9C	72.98	Speakers	thinksound
B004P5K6BY	52.5	Speakers	Supersonic
B004PJC9QU	399.95	Speakers	Bowers & Wilkins
B004PYD88I	89.99	Speakers	VIZIO
B004Q21I4U	43.55	Speakers	Kaito
B004Q9T78C	21.54	Speakers	Kodak
B004QJKO52	48.49	Speakers	Kaito
B004R2DLTO	15.98	Speakers	Scosche
B004ROS4IU	167	Speakers	Sharp
B004RPXXZS	239	Speakers	Orb Audio
B004SNCZ3K	74.58	Speakers	Creative
B004UHWZDY	92.89	Speakers	JBL
B004UR485M	102.07	Speakers	Onkyo
B004UR486G	295.785	Speakers	Onkyo
B004UR487A	159.99	Speakers	Onkyo
B004US0URQ	309.99	Speakers	Pyle
B004V9G27G	146.99	Speakers	Pyle
B004VF4D9E	37.38	Speakers	GPX
B004VFH86O	35.82	Speakers	iLive
B004W1EXYC	360.75	Speakers	Monster
B004W7DSLA	34.845	Speakers	Sylvania
B004WOK2NK	91.16	Speakers	Philips
B004WZVO68	21.19	Speakers	Maxell
B004X28I0A	24.99	Speakers	Creative
B004X28II2	39.43	Speakers	Creative
B004XW2NEW	103.355	Speakers	Monster
B004Y4XVOK	70.15	Speakers	Creative
B004YAVDTE	219.02	Speakers	Eton
B004YDUZ22	10.99	Speakers	Mediabridge
B004YEKI50	77.18	Speakers	Naxa Electronics
B004YI6N00	107.99	Speakers	ECOXGEAR
B004YI9HG2	229	Speakers	Grace Digital
B004YI9NTS	157.49	Speakers	Grace Digital
B004Z57WKW	55.03	Speakers	SOUL by Ludacris
B004Z57X42	56.9	Speakers	SOUL by Ludacris
B004Z57XPQ	120.88	Speakers	SOUL by Ludacris
B004Z5Z3Q2	18.47	Speakers	Sangean
B004ZEZGHO	36.57	Speakers	RCA
B004ZP74UA	29.99	Speakers	Quirky
B0050EFAMO	53.52	Speakers	Sentry Industries Inc.
B0050SNCN4	369.94	Speakers	Garmin
B0051PMWY6	73.23	Speakers	Kaito
B0051UOUNM	199	Speakers	B&O PLAY by Bang & Olufsen
B0052D386S	54.6	Speakers	HMDX
B0052EECYO	45.1	Speakers	Naxa Electronics
B0052W3KCQ	48.32	Speakers	Jensen
B0053R0WWG	39.95	Speakers	RHA
B00542NI58	29.34	Speakers	Eclipse
B00542NV32	89.97	Speakers	Garmin
B0054JJ0QW	269	Speakers	Bose
B0055FZIZW	273.99	Speakers	ZVOX
B0055R0YK4	90.19	Speakers	Belkin
B0056IB3DY	21.97	Speakers	Pyle
B0058M3RXW	131.25	Speakers	V-MODA
B005A9ZYI4	32.67	Speakers	Vibe Sound
B005AME3Q0	56.39	Speakers	DIRECTV
B005AUTSOY	100.28	Speakers	beyerdynamic
B005BJFDL6	5.7	Speakers	Calrad
B005BT2ZZS	55.08	Speakers	Memorex
B005C3CYK4	12.69	Speakers	JVC
B005CM9S5Y	14.8	Speakers	Eclipse
B005CNR7B0	199.99	Speakers	AKG
B005D91G38	88.37	Speakers	ECOXGEAR
B005DIBH4M	163.97	Speakers	Garmin
