asin	1	2	3	4	5
6907190	2	0	0	0	0
3167760	3	4	3	5	2
3220241	1	0	0	1	2
7317300	0	0	1	4	20
9812437	0	0	0	0	1
9298318	8	0	1	5	20
4847154	0	0	0	0	1
9963796	0	0	0	0	1
3132083	0	0	0	0	2
1481115	5	1	4	8	6
9043657	1	0	2	8	6
5435310	0	0	0	0	1
2365745	0	0	0	0	1
1805553	2	0	2	6	4
4022863	0	1	1	1	8
5904371	0	0	0	2	3
7145937	1	0	1	1	2
8062649	0	0	0	1	1
8703058	0	0	0	8	19
6694764	1	0	2	5	8
2939750	0	0	3	0	1
6790964	0	0	3	4	15
2651474	0	0	1	0	1
2978130	0	0	0	2	5
7393845	0	0	0	4	2
7814717	1	0	0	0	6
6825615	0	0	0	1	8
2636410	0	0	0	2	2
8296553	0	1	0	0	1
1324644	0	0	0	2	8
3410184	0	0	0	0	1
6611354	0	1	0	0	8
5139776	0	0	0	3	11
9215609	0	0	0	1	2
3082902	0	0	0	3	6
4547588	0	0	0	1	4
3755022	0	0	0	2	5
7598367	0	0	0	3	5
4970509	0	0	0	1	3
1299313	0	0	2	1	9
8789111	0	0	0	1	2
1222160	0	0	1	1	1
2352892	0	0	0	4	5
5881207	0	0	0	1	1
5735793	0	0	0	1	0
5408996	0	0	1	3	5
8918394	0	0	0	0	2
4889860	0	0	0	0	3
9071743	0	0	2	4	1
2677422	0	0	0	2	0
3327551	0	0	0	0	4
8471759	0	0	2	6	16
8686507	0	0	0	0	1
7204049	8	0	6	23	61
4727230	1	1	0	0	0
9367770	0	1	0	0	8
8390582	1	0	1	0	2
1152740	1	2	0	1	1
3194694	1	0	0	0	1
7331035	0	0	2	2	2
4907495	0	0	0	0	1
2530606	6	1	1	12	33
1586319	0	0	2	4	7
5376531	0	2	1	8	27
4610287	0	0	2	1	3
9421674	1	0	1	0	2
3761326	0	0	1	5	9
5845294	0	0	0	12	20
6587316	1	1	1	4	13
7170854	1	0	0	0	0
8170864	1	0	0	0	0
2814576	1	1	0	2	2
4810951	0	0	0	3	12
1381346	0	1	0	2	6
4931855	0	1	0	5	7
8956844	1	0	1	10	9
9300804	0	0	1	1	1
9608035	1	1	0	1	1
1100829	2	0	1	0	2
2646989	0	0	0	3	2
4480296	2	1	0	0	0
4282326	2	1	0	2	5
1776872	4	0	0	1	2
1292192	0	0	0	0	1
5763075	1	0	1	0	3
5386152	0	0	0	0	1
8647665	0	0	0	1	0
7214770	1	0	0	2	1
7263204	0	0	1	0	2
4355810	0	0	1	0	1
2844255	0	1	0	0	1
4797563	0	0	0	0	1
9307521	1	1	0	0	0
7761274	0	0	0	0	2
1066014	0	0	1	0	0
9605251	1	1	0	3	4
1570723	0	0	0	0	2
2480143	0	0	0	0	1
9553741	0	0	0	1	1
8415977	1	0	0	0	2
2280382	0	0	0	1	2
7022301	0	0	0	1	0
5075398	0	0	0	0	1
7751901	0	0	1	1	3
5919240	1	0	0	0	0
5617055	0	0	0	1	1
