13	4	6	20	26
7	10	9	18	29
3	5	5	21	28
12	3	4	18	17
3	2	2	9	11
5	1	2	22	16
2	1	3	8	22
1	2	1	9	21
1	3	1	14	23
0	4	4	6	22
3	1	5	17	21
4	2	8	34	39
6	2	1	12	20
4	1	2	17	23
1	4	10	18	25
9	2	9	23	48
2	4	3	14	23
4	4	3	10	16
3	0	0	5	18
1	0	1	14	28
4	0	1	4	10
2	2	5	12	17
15	3	13	34	76
3	3	7	14	20
1	1	2	11	16
2	1	0	5	10
5	2	3	6	17
3	5	5	12	22
7	1	2	5	17
2	0	5	13	11
8	5	6	14	14
4	1	1	6	11
3	2	2	5	30
3	1	4	11	12
5	2	6	17	9
3	3	1	5	10
3	0	2	2	7
0	5	7	26	38
8	2	6	17	29
0	0	2	10	16
1	6	10	19	51
2	1	4	10	25
1	1	4	15	31
4	2	4	15	28
5	2	1	6	13
1	0	3	17	16
0	0	3	8	15
0	1	2	9	13
3	1	1	3	6
6	4	3	10	10
2	4	2	6	9
7	3	11	19	18
10	7	24	62	57
2	0	3	6	13
11	8	16	37	64
0	1	0	4	12
2	0	1	8	8
1	1	2	12	16
1	0	1	3	4
7	13	7	27	65
2	0	5	5	9
13	6	4	8	18
4	1	2	3	15
1	0	1	2	8
2	1	3	3	6
0	0	0	4	11
1	0	2	7	16
1	1	2	1	6
0	0	1	5	11
2	1	1	5	12
7	1	9	18	54
1	0	0	6	14
0	1	2	4	13
0	0	1	6	4
0	0	1	5	8
0	1	0	0	7
0	1	0	2	3
3	1	6	1	7
3	1	1	1	7
5	2	4	1	7
0	1	1	1	6
0	1	2	0	6
2	1	3	0	6
3	1	1	1	2
6	2	2	1	2
1	0	0	2	2
1	0	1	4	2
0	0	1	0	2
0	0	1	0	0
3	1	2	5	12
0	2	3	7	11
0	2	2	2	6
2	0	1	1	2
3	3	2	1	6
4	3	0	5	13
1	0	0	6	4
3	1	2	7	10
2	0	1	2	2
2	0	3	6	10
0	0	0	9	8
0	1	2	2	11
0	1	2	3	8
1	0	2	1	2
0	0	0	2	1
0	0	2	2	3
0	0	0	3	2
0	0	0	4	4
0	1	0	1	5
0	0	1	3	6
0	0	1	5	7
0	1	0	1	1
1	1	0	2	4
1	0	0	4	1
0	0	1	3	3
0	1	1	7	7
0	1	3	2	5
1	0	1	2	3
0	0	0	3	3
2	1	1	4	6
0	1	0	2	7
0	0	1	6	2
0	0	0	1	2
3	0	1	4	2
0	1	0	3	6
1	2	0	3	3
0	2	1	2	5
0	0	1	0	1
0	0	0	0	6
0	0	0	0	1
0	0	2	2	12
0	0	0	1	4
4	4	5	4	11
0	2	3	1	4
0	0	0	1	2
3	0	2	14	83
0	0	0	0	1
0	0	0	0	10
0	0	2	7	14
1	0	0	0	6
0	0	0	0	4
0	0	0	0	1
0	0	1	0	0
4	0	2	6	8
1	0	0	0	1
0	0	1	0	0
0	0	0	1	0
0	0	0	0	1
0	0	0	1	0
0	0	0	1	0
2	0	5	6	6
1	1	0	0	1
0	0	0	2	2
0	0	0	1	0
0	0	0	0	1
0	0	1	2	1
0	0	0	0	2
0	0	0	0	1
1	0	0	4	3
0	0	0	1	3
7	3	2	13	44
0	0	0	0	1
1	0	1	5	21
0	0	0	2	1
0	0	0	1	4
0	0	1	1	5
1	0	0	2	5
1	1	0	0	0
0	0	0	1	10
0	1	0	2	0
0	0	0	2	5
1	0	0	0	0
2	1	2	6	11
1	0	1	1	1
0	0	0	1	1
0	0	0	0	3
0	0	0	1	0
0	0	0	0	2
